,matchId,participantId,pos,distance,difference
150,2695191376,4,"[array([12224.,  6773.]), array([5237., 5622.]), array([2395., 1322.]), array([8225., 5692.]), array([5384., 5526.]), array([2251., 8470.])]","[4023.19, 2150.32, 11701.78, 3967.18, 4523.59, 2650.56]",4836.1033333333335
152,2695191378,1,"[array([3442., 7696.]), array([3824., 6408.]), array([9097., 5615.]), array([9211., 5429.]), array([4380., 4017.]), array([4003., 9573.])]","[4996.9, 535.37, 9127.01, 4678.09, 4586.57, 3407.79]",4555.288333333333
154,2695191379,3,"[array([8885., 5565.]), array([5404., 8642.]), array([3496., 9549.]), array([2104., 9483.]), array([10330.,  4914.]), array([475., 493.])]","[963.16, 2793.11, 3409.49, 4501.25, 2978.19, 6497.41]",3523.7683333333334
156,2695191385,5,"[array([6761., 3107.]), array([6980., 5220.]), array([ 6882., 11473.]), array([2279., 8706.]), array([10484.,  2240.]), array([7324., 3435.])]","[3491.05, 3893.62, 3536.08, 4365.27, 1810.21, 4630.9]",3621.188333333333
158,2695191392,1,"[array([8578., 4674.]), array([8045., 2245.]), array([9800., 5767.]), array([ 6153., 10681.]), array([3580., 6534.]), array([10589.,  3073.])]","[1636.01, 6456.62, 9445.51, 1440.75, 6548.07, 7651.25]",5529.701666666667
160,2695191393,4,"[array([7907., 5316.]), array([3587., 7885.]), array([ 4218., 11509.]), array([7150., 5114.]), array([6614., 7208.]), array([7743., 1337.])]","[1010.68, 1189.45, 1545.07, 4233.62, 5205.29, 6379.5]",3260.601666666667
162,2695191395,2,"[array([6166., 4762.]), array([3440., 7717.]), array([2272., 8244.]), array([8791., 2507.]), array([3936., 6412.]), array([10878.,  3611.])]","[2559.59, 1005.56, 4913.38, 7148.41, 6195.47, 7720.16]",4923.761666666666
164,2695191397,1,"[array([1241.,  594.]), array([2334.,  851.]), array([478., 626.]), array([2744., 7680.]), array([394., 461.]), array([7764., 4020.])]","[9006.95, 5955.3, 12734.79, 4188.98, 8521.09, 4694.16]",7516.878333333334
166,2695191405,3,"[array([3796., 6681.]), array([2882., 8235.]), array([6898., 5234.]), array([8856., 4670.]), array([2761., 6201.]), array([9929., 7855.])]","[4454.72, 1602.65, 8367.31, 5160.3, 7020.49, 6543.63]",5524.849999999999
168,2695191410,3,"[array([3503., 7776.]), array([2225., 8569.]), array([7848., 8433.]), array([7483., 3898.]), array([7859., 7229.]), array([12233.,  6399.])]","[4962.1, 2188.15, 6155.22, 5485.21, 4867.43, 8634.55]",5382.11
170,2695191413,5,"[array([8072., 3508.]), array([4029., 6106.]), array([4457., 9347.]), array([ 3071., 11620.]), array([394., 461.]), array([8790., 2492.])]","[2769.63, 885.71, 3691.65, 4218.39, 8521.09, 6371.31]",4409.63
172,2695191415,2,"[array([8034., 3528.]), array([3604., 7593.]), array([5031., 5392.]), array([8626., 4274.]), array([2716., 8359.]), array([4545., 2621.])]","[2752.13, 907.08, 7683.32, 5429.37, 8411.09, 3690.77]",4812.293333333333
174,2695191416,3,"[array([7846., 3515.]), array([3698., 6568.]), array([ 3359., 10933.]), array([2111.,  715.]), array([6898., 5507.]), array([10989.,  4505.])]","[2784.88, 345.86, 2044.94, 9699.36, 3556.04, 7577.49]",4334.761666666666
176,2695191424,5,"[array([8100., 6246.]), array([5385., 5888.]), array([2481., 8741.]), array([7856., 9400.]), array([590., 538.]), array([8670., 3968.])]","[134.73, 2164.4, 4377.84, 1257.08, 8312.65, 5534.22]",3630.1533333333336
178,2695191425,5,"[array([9548., 6071.]), array([3646., 6370.]), array([5103., 9133.]), array([ 4374., 11476.]), array([10539.,  3285.]), array([8754., 5442.])]","[1331.41, 431.62, 4080.52, 3105.94, 2041.72, 5206.86]",2699.6783333333333
180,2695191426,5,"[array([7419., 3793.]), array([3630., 7929.]), array([1363., 7000.]), array([7968., 6677.]), array([12635.,  6248.]), array([2685., 8083.])]","[2609.86, 1240.63, 6385.69, 2968.03, 5492.93, 2103.88]",3466.8366666666666
182,2695191428,2,"[array([7505., 4813.]), array([7128., 3966.]), array([ 3098., 12736.]), array([ 2451., 11011.]), array([7617., 5057.]), array([11113.,  7705.])]","[1630.99, 4643.66, 613.07, 4485.24, 2833.57, 7663.45]",3644.9966666666664
184,2695191430,3,"[array([6676., 4832.]), array([6829., 4305.]), array([3478., 7808.]), array([6532., 9408.]), array([8104., 2398.]), array([12524.,  3224.])]","[2120.76, 4203.15, 5149.62, 118.81, 581.0, 9402.72]",3596.0099999999998
186,2695191435,5,"[array([3138., 7558.]), array([3924., 6258.]), array([8143., 6892.]), array([8767., 3969.]), array([8101., 1748.]), array([2643., 4440.])]","[5253.58, 706.13, 7533.04, 5764.97, 898.75, 1994.18]",3691.775
188,2695191436,1,"[array([7858., 3540.]), array([3434., 6809.]), array([4380., 9924.]), array([2099., 8646.]), array([8278., 2371.]), array([9413., 5590.])]","[2758.47, 108.24, 3111.85, 4551.98, 410.56, 5842.79]",2797.315
190,2695191439,5,"[array([8635., 4615.]), array([3960., 6300.]), array([ 2356., 12367.]), array([2707., 1475.]), array([10686.,  5252.]), array([8221., 2490.])]","[1706.27, 708.76, 1440.07, 8751.55, 3458.38, 5918.36]",3663.898333333333
192,2695191442,2,"[array([3524., 7998.]), array([ 7604., 10940.]), array([ 2574., 12496.]), array([ 1687., 11500.]), array([2301., 8326.]), array([2391., 1257.])]","[5014.07, 5972.93, 1188.77, 5380.02, 8688.03, 5078.26]",5220.346666666667
194,2695191447,2,"[array([7843., 3589.]), array([5668., 5323.]), array([3483., 9026.]), array([2226., 9716.]), array([5449.,  998.]), array([13143.,  2551.])]","[2712.04, 2673.72, 3932.5, 4394.61, 3538.58, 10211.99]",4577.239999999999
196,2695191462,4,"[array([3565., 8156.]), array([ 6461., 11197.]), array([2543., 8173.]), array([7034., 5313.]), array([877., 709.]), array([7370., 7953.])]","[5032.55, 5438.22, 4912.26, 4022.27, 7994.87, 4161.38]",5260.258333333333
198,2695191464,4,"[array([7131., 3105.]), array([3870., 6450.]), array([5020., 9738.]), array([394., 461.]), array([10911.,  3299.]), array([6162., 6916.])]","[3353.87, 552.6, 3487.47, 10811.08, 2389.82, 2662.19]",3876.1716666666666
200,2695191465,1,"[array([3704., 7979.]), array([2503., 8449.]), array([8826., 3453.]), array([10422.,  5309.]), array([1239.,  813.]), array([9287., 5485.])]","[4838.72, 1946.76, 10809.4, 5533.21, 7619.0, 5729.42]",6079.418333333334
202,2695191466,3,"[array([7959., 3505.]), array([4051., 6109.]), array([3229., 8790.]), array([5651., 3756.]), array([8761., 2411.]), array([3123., 7589.])]","[2781.43, 899.84, 4187.39, 5636.8, 79.81, 1479.35]",2510.77
204,2695191467,1,"[array([791., 642.]), array([3460., 6727.]), array([ 2229., 12491.]), array([5296., 5669.]), array([9016., 2352.]), array([3598., 6535.])]","[9331.49, 77.28, 1514.51, 3870.02, 341.5, 346.01]",2580.135
206,2695191470,3,"[array([3504., 8190.]), array([2653., 8242.]), array([9946., 5704.]), array([741., 586.]), array([8450., 2613.]), array([12170.,  2712.])]","[5101.85, 1694.76, 9588.44, 10511.63, 295.83, 9247.56]",6073.345
208,2695191472,1,"[array([3561., 7726.]), array([ 6231., 10693.]), array([3707., 6705.]), array([ 3327., 13031.]), array([7007., 4586.]), array([8616., 2632.])]","[4891.77, 4893.45, 6249.1, 4955.46, 2729.84, 6148.37]",4977.998333333334
210,2695191474,5,"[array([7872., 3608.]), array([3941., 6339.]), array([3316., 7900.]), array([6763., 8488.]), array([7032., 4706.]), array([1340.,  868.])]","[2689.21, 670.91, 5066.45, 839.58, 2810.73, 5781.45]",2976.388333333333
212,2695191480,2,"[array([7836., 4770.]), array([3653., 6516.]), array([7489., 7739.]), array([10304.,  4965.]), array([10522.,  1284.]), array([2715., 6054.])]","[1554.29, 333.42, 6463.23, 5709.75, 2167.06, 896.23]",2853.9966666666664
214,2695191482,3,"[array([713., 357.]), array([6794., 5008.]), array([3000., 7868.]), array([4291., 7448.]), array([5881., 1223.]), array([6562., 4651.])]","[9567.36, 3812.5, 5130.07, 2969.04, 3052.62, 3336.61]",4644.7
216,2695191489,5,"[array([4561., 9197.]), array([5616., 5421.]), array([6898., 6694.]), array([4946., 8354.]), array([8690., 2557.]), array([11060.,  1440.])]","[4693.19, 2578.97, 7042.81, 1913.14, 125.14, 8842.49]",4199.29
218,2695191492,2,"[array([7795., 3569.]), array([3874., 6298.]), array([6741., 9977.]), array([8627., 5596.]), array([8621., 2588.]), array([3551., 6632.])]","[2739.08, 642.13, 4276.38, 4231.94, 168.24, 445.81]",2083.93
